TABLE 6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
OIL FUND LEVIED ON PETROLEUM PRODUCTS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,," UNIT: Baht/Litre",,
,OIL FUND,,,,,,,,,,,,,,,,
DATE,ULG,UGR,GASOHOL 95,,,GASOHOL 91,KI,HSD **,HSD **,HSD,HSD,LSD,FO,,LPG (B/Kg),,
,,,(E10),(E20),(E85),,,B7,,B20,B5,,(1500),LOW INCOME,COOKING,INDUSTRY,AUTOBILE
,,,,,,,,,,,,,,HOUSEHOLD,,,
APR-28,2.5,2.3,0.54,,,,0.1,0.95,,,,0.95,0.06,,-1.8894,,
AVG,2.5,2.2999999999999994,0.5400000000000001,,,,0.10000000000000002,1.7166666666666666,,,,1.7166666666666666,0.05999999999999999,,-2.0503733333333334,,
MAY-1,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.8106,,
MAY-8,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.8208,,
MAY-15,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.8235,,
MAY-22,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.9555,,
MAY-29,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.991,,
AVG,2.5,2.3,0.54,,,0.54,0.10000000000000002,0.9499999999999998,,,,0.9499999999999998,0.06,,-1.8659935483870966,,
JUN-5,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.991,,
JUN-12,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-2.0213,,
JUN-19,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-2.0567,,
JUN-26,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-2.0537,,
AVG,2.5,2.2999999999999994,0.5399999999999999,,,0.5399999999999999,0.10000000000000002,0.9499999999999998,,,,0.9499999999999998,0.05999999999999999,,-2.0238500000000004,,
JUL-3,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-2.0591,,
JUL-10,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.9508,,
JUL-17,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.9052,,
JUL-24,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.9633,,
JUL-31,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.9133,,
AVG,2.5,2.3,0.54,,,0.54,0.10000000000000002,0.9499999999999998,,,,0.9499999999999998,0.06,,-1.9699838709677417,,
AUG-7,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.8937,,
AUG-14,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.8042,,
AUG-21,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.7708,,
AUG-28,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.8068,,
AVG,2.5,2.3,0.54,,,0.54,0.10000000000000002,0.9499999999999998,,,,0.9499999999999998,0.06,,-1.8383193548387096,,
SEP-4,2.5,2.3,0.54,,,0.54,0.1,0.95,,,,0.95,0.06,,-1.8062,,
SEP-11,2.5,2.3,0.54,,,0.54,0.1,0.95,,,0.0748,0.95,0.06,,-1.735,,
SEP-18,2.5,2.3,0.54,,,0.54,0.1,0.95,,,0.0748,0.95,0.06,,-1.7433,,
SEP-25,2.5,2.3,0.54,,,0.54,0.1,0.95,,,0.0748,0.95,0.06,,-1.748,,
AVG,2.5,2.2999999999999994,0.5400000000000001,,,0.5400000000000001,0.10000000000000002,0.9499999999999998,,,0.0748,0.9499999999999998,0.05999999999999999,,-1.76333,,
OCT-2,2.5,2.3,0.54,,,0.54,0.1,0.95,,,0.0748,0.95,0.06,,-1.7732,,
OCT-9,2.5,2.3,0.54,,,0.54,0.1,0.95,,,0.0748,0.95,0.06,,-1.8027,,
OCT-12,2.9,2.7,0.94,,,0.94,0.1,0.95,,,0.0748,0.95,0.06,,-1.8027,,
OCT-14,3.2,3,1.24,,,1.24,0.1,1.15,,,0.2784,1.15,0.06,,-1.8027,,
OCT-16,3.2,3,1.24,,,1.24,0.1,1.15,,,0.4784,1.15,0.06,,-1.7756,,
OCT-23,3.2,3,1.24,,,1.24,0.1,1.15,,,0.4784,1.15,0.06,,-1.7334,,
OCT-25,3.46,3.26,1.5,,,1.5,0.1,1.5,,,0.6284,1.5,0.06,,-1.7334,,
OCT-30,3.46,3.26,1.5,,,1.5,0.1,1.5,,,0.6284,1.5,0.06,,-1.6428,,
AVG,2.9316129032258065,2.731612903225806,0.9716129032258065,,,0.9716129032258065,0.1,1.1370967741935485,,,0.29589677419354843,1.1370967741935485,0.06,,-1.7238064516129032,,
NOV-6,3.46,3.26,1.5,,,1.5,0.1,1.5,,,0.6284,1.5,0.06,,-1.5265,,
NOV-13,3.46,3.26,1.5,,,1.5,0.1,1.5,,,0.6284,1.5,0.06,,-1.518,,
NOV-20,3.46,3.26,1.5,,,1.5,0.1,1.5,,,0.6284,1.5,0.06,,-1.4677,,
