date,station,fuel_type,effective_date,price
2021-02-13,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-13,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Feb 05:00,25.45
2021-02-14,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-14,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-14,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Feb 05:00,25.45
2021-02-15,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-15,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-15,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Feb 05:00,25.45
2021-02-16,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-16,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-16,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Feb 05:00,25.45
2021-02-17,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-17,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-17,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Feb 05:00,25.95
2021-02-18,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),17 Feb 05:00,25.45
2021-02-18,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),17 Feb 05:00,25.45
2021-02-18,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Feb 05:00,25.95
2021-02-19,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),17 Feb 05:00,25.45
2021-02-19,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),17 Feb 05:00,25.45
2021-02-19,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),18 Feb 05:00,25.45
2021-02-20,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),17 Feb 05:00,25.45
2021-02-20,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),17 Feb 05:00,25.45
2021-02-20,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Feb 05:00,26.05
2021-02-21,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-21,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-21,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Feb 05:00,26.05
2021-02-22,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-22,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-22,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Feb 05:00,26.05
2021-02-23,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-23,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-23,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Feb 05:00,26.05
2021-02-24,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-24,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-24,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Feb 05:00,26.05
2021-02-25,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-25,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-25,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Feb 05:00,26.45
2021-02-26,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
